parameter,unit,lower_bound,upper_bound,n_guidelines,n_values,source,pages,example_quote
percentile body dimensions,%,50.0,95.0,6,6,MIL-HDBK-470A,483;485;574;637;641,
percentile body dimension,%,5.0,95.0,6,6,MIL-HDBK-470A,443;444;667;708;713,
durability distance forward of inflight refueling receptacle,in,36.0,36.0,5,5,MIL-HDBK-470A,517;533;542;571;664,
inlet duct edge distance from cockpit or crew station,in,60.0,60.0,5,5,MIL-HDBK-470A,448;457;473;484;516,
low observable (lo) engine face frame distance from first stage fan or compressor blades,in,10.0,10.0,4,4,MIL-HDBK-470A,448;473;484;516,
radius aft of inlet for ground safety pins or streamers exclusion,ft,3.0,3.0,4,4,MIL-HDBK-470A,448;457;473;484,
bit false alarm rate,%,1.0,1.0,4,4,MIL-HDBK-470A,384;394;412,
minimum distance,in,1.0,36.0,4,4,MIL-HDBK-470A,505;517;542;616,
sample size,count,5.0,6860.0,4,4,MIL-HDBK-470A,166;187;211;212,The sample size required is 20.
minimum spacing between ground power and servicing interfaces,in,30.0,30.0,3,3,MIL-HDBK-470A,357;373;611,
plumbing and wiring clearance below plate nut channel,in,1.0,1.0,3,3,MIL-HDBK-470A,429;449;659,
minimum angle of intersection in fuel wetted area,deg,90.0,90.0,3,3,MIL-HDBK-470A,515;525;709,
fuselage weapon bays distance from landing gear,in,18.0,18.0,3,3,MIL-HDBK-470A,354;539;622,
single drive belt replacement time,min,30.0,30.0,3,3,MIL-HDBK-470A,355;445;601,
wheel ground height off ground,in,2.0,2.0,3,3,MIL-HDBK-470A,485;517;542,
lo engine face frame distance,in,10.0,10.0,3,3,MIL-HDBK-470A,357;389;417,
ammo loader interface height,in,50.0,50.0,3,3,MIL-HDBK-470A,359;649;686,
accessibility percentile,%,50.0,75.0,3,3,MIL-HDBK-470A,679;682;683,
minimum clearance,in,1.0,1.0,3,3,MIL-HDBK-470A,364;387;698,
mttr,min,30.0,60.0,3,3,MIL-HDBK-470A,386;571,
"minimum distance below plate nut channel to plumbing, wiring, ducts, and connectors",in,1.0,1.0,2,2,MIL-HDBK-470A,505;543,
low observable engine face frames to first stage fan or compressor blades distance,in,10.0,10.0,2,2,MIL-HDBK-470A,457;550,
"minimum distance from outer surface for plumbing, wiring, ducts, and connectors",in,1.0,1.0,2,2,MIL-HDBK-470A,486;518,
percentage of openings plugged for auxiliary air inlets and exits functionality,%,25.0,25.0,2,2,MIL-HDBK-470A,485;550,
fuselage lower shear moldline height above ground for external weapons,in,38.0,38.0,2,2,MIL-HDBK-470A,361;510,
low observable engine face frame to first stage fan distance,in,10.0,10.0,2,2,MIL-HDBK-470A,357;645,
maximum distance from edge of access opening to wetted area,in,18.0,18.0,2,2,MIL-HDBK-470A,515;542,
cosmetic type repairs time including cure or drying times,h,1.0,1.0,2,2,MIL-HDBK-470A,485;550,
